Year,Years from base,OMB rate (%),OMB discount factor,Pluralistic rate (%),Pluralistic discount factor
2025,5,2.0%,0.9057,2.9%,0.883
2030,10,2.0%,0.8203,2.9%,0.8003
2035,15,2.0%,0.743,2.9%,0.7404
2040,20,2.0%,0.673,2.9%,0.6958
2045,25,2.0%,0.6095,2.9%,0.6617
2050,30,2.0%,0.5521,2.9%,0.6351
2055,35,2.0%,0.5,2.9%,0.6137
2060,40,2.0%,0.4529,2.9%,0.5964
2065,45,2.0%,0.4102,2.9%,0.5821
2070,50,2.0%,0.3715,2.9%,0.5701
2075,55,2.0%,0.3365,2.9%,0.5601
2080,60,1.9%,0.3051,2.9%,0.5516
2085,65,1.9%,0.2777,2.9%,0.5443
2090,70,1.9%,0.2527,2.9%,0.5381
2095,75,1.8%,0.2303,2.9%,0.5328
2100,80,1.8%,0.2106,2.9%,0.5283
2105,85,1.8%,0.1926,2.9%,0.5244
2110,90,1.8%,0.1762,2.9%,0.521
2115,95,1.8%,0.1612,2.9%,0.5181
2120,100,1.8%,0.1474,2.9%,0.5156
