Year,OMB rate (%),OMB discount factor,Pluralistic rate (%),Pluralistic discount factor,
1,2.00%,0.9804,2.90%,0.9731,2020.00%
2,2.00%,0.9612,2.90%,0.9481,2021.00%
3,2.00%,0.9423,2.90%,0.9248,2022.00%
4,2.00%,0.9238,2.90%,0.9031,2023.00%
5,2.00%,0.9057,2.90%,0.883,2024.00%
6,2.00%,0.888,2.90%,0.8641,2025.00%
7,2.00%,0.8706,2.90%,0.8466,2026.00%
8,2.00%,0.8535,2.90%,0.8301,2027.00%
9,2.00%,0.8368,2.90%,0.8147,2028.00%
10,2.00%,0.8203,2.90%,0.8003,2029.00%
11,2.00%,0.8043,2.90%,0.7868,2030.00%
12,2.00%,0.7885,2.90%,0.7741,2031.00%
13,2.00%,0.773,2.90%,0.7622,2032.00%
14,2.00%,0.7579,2.90%,0.751,2033.00%
15,2.00%,0.743,2.90%,0.7404,2034.00%
16,2.00%,0.7284,2.90%,0.7305,2035.00%
17,2.00%,0.7142,2.90%,0.7211,2036.00%
18,2.00%,0.7002,2.90%,0.7122,2037.00%
19,2.00%,0.6864,2.90%,0.7038,2038.00%
20,2.00%,0.673,2.90%,0.6958,2039.00%
21,2.00%,0.6598,2.90%,0.6883,2040.00%
22,2.00%,0.6468,2.90%,0.6811,2041.00%
23,2.00%,0.6342,2.90%,0.6743,2042.00%
24,2.00%,0.6217,2.90%,0.6679,2043.00%
25,2.00%,0.6095,2.90%,0.6617,2044.00%
26,2.00%,0.5976,2.90%,0.6559,2045.00%
27,2.00%,0.5859,2.90%,0.6503,2046.00%
28,2.00%,0.5744,2.90%,0.645,2047.00%
29,2.00%,0.5631,2.90%,0.6399,2048.00%
30,2.00%,0.5521,2.90%,0.6351,2049.00%
31,2.00%,0.5412,2.90%,0.6304,2050.00%
32,2.00%,0.5306,2.90%,0.626,2051.00%
33,2.00%,0.5202,2.90%,0.6217,2052.00%
34,2.00%,0.51,2.90%,0.6176,2053.00%
35,2.00%,0.5,2.90%,0.6137,2054.00%
36,2.00%,0.4902,2.90%,0.61,2055.00%
37,2.00%,0.4806,2.90%,0.6064,2056.00%
38,2.00%,0.4712,2.90%,0.6029,2057.00%
39,2.00%,0.4619,2.90%,0.5996,2058.00%
40,2.00%,0.4529,2.90%,0.5964,2059.00%
41,2.00%,0.444,2.90%,0.5933,2060.00%
42,2.00%,0.4353,2.90%,0.5903,2061.00%
43,2.00%,0.4268,2.90%,0.5875,2062.00%
44,2.00%,0.4184,2.90%,0.5847,2063.00%
45,2.00%,0.4102,2.90%,0.5821,2064.00%
46,2.00%,0.4022,2.90%,0.5795,2065.00%
47,2.00%,0.3943,2.90%,0.577,2066.00%
48,2.00%,0.3865,2.90%,0.5747,2067.00%
49,2.00%,0.379,2.90%,0.5724,2068.00%
50,2.00%,0.3715,2.90%,0.5701,2069.00%
51,2.00%,0.3642,2.90%,0.568,2070.00%
52,2.00%,0.3571,2.90%,0.5659,2071.00%
53,2.00%,0.3501,2.90%,0.5639,2072.00%
54,2.00%,0.3432,2.90%,0.562,2073.00%
55,2.00%,0.3365,2.90%,0.5601,2074.00%
56,2.00%,0.3299,2.90%,0.5583,2075.00%
57,2.00%,0.3234,2.90%,0.5565,2076.00%
58,2.00%,0.3171,2.90%,0.5548,2077.00%
59,2.00%,0.3109,2.90%,0.5532,2078.00%
60,1.90%,0.3051,2.90%,0.5516,2079.00%
61,1.90%,0.2994,2.90%,0.55,2080.00%
62,1.90%,0.2938,2.90%,0.5485,2081.00%
63,1.90%,0.2883,2.90%,0.5471,2082.00%
64,1.90%,0.283,2.90%,0.5457,2083.00%
65,1.90%,0.2777,2.90%,0.5443,2084.00%
66,1.90%,0.2725,2.90%,0.543,2085.00%
67,1.90%,0.2674,2.90%,0.5417,2086.00%
68,1.90%,0.2624,2.90%,0.5405,2087.00%
69,1.90%,0.2575,2.90%,0.5393,2088.00%
70,1.90%,0.2527,2.90%,0.5381,2089.00%
71,1.90%,0.248,2.90%,0.537,2090.00%
72,1.90%,0.2434,2.90%,0.5359,2091.00%
73,1.90%,0.2389,2.90%,0.5349,2092.00%
74,1.90%,0.2344,2.90%,0.5338,2093.00%
75,1.80%,0.2303,2.90%,0.5328,2094.00%
76,1.80%,0.2262,2.90%,0.5319,2095.00%
77,1.80%,0.2222,2.90%,0.5309,2096.00%
78,1.80%,0.2183,2.90%,0.53,2097.00%
79,1.80%,0.2144,2.90%,0.5291,2098.00%
80,1.80%,0.2106,2.90%,0.5283,2099.00%
81,1.80%,0.2069,2.90%,0.5275,2100.00%
82,1.80%,0.2032,2.90%,0.5267,
83,1.80%,0.1996,2.90%,0.5259,
84,1.80%,0.1961,2.90%,0.5251,
85,1.80%,0.1926,2.90%,0.5244,
86,1.80%,0.1892,2.90%,0.5237,
87,1.80%,0.1859,2.90%,0.523,
88,1.80%,0.1826,2.90%,0.5223,
89,1.80%,0.1794,2.90%,0.5216,
90,1.80%,0.1762,2.90%,0.521,
91,1.80%,0.1731,2.90%,0.5204,
92,1.80%,0.17,2.90%,0.5198,
93,1.80%,0.167,2.90%,0.5192,
94,1.80%,0.1641,2.90%,0.5187,
95,1.80%,0.1612,2.90%,0.5181,
96,1.80%,0.1583,2.90%,0.5176,
97,1.80%,0.1555,2.90%,0.5171,
98,1.80%,0.1528,2.90%,0.5166,
99,1.80%,0.1501,2.90%,0.5161,
100,1.80%,0.1474,2.90%,0.5156,
